,Actual Load
2024-06-05 16:00:00+02:00,56682.0
2024-06-05 16:15:00+02:00,56575.0
2024-06-05 16:30:00+02:00,57021.0
2024-06-05 16:45:00+02:00,56868.0
2024-06-05 17:00:00+02:00,56970.0
2024-06-05 17:15:00+02:00,56690.0
2024-06-05 17:30:00+02:00,56741.0
2024-06-05 17:45:00+02:00,57166.0
2024-06-05 18:00:00+02:00,57742.0
2024-06-05 18:15:00+02:00,57496.0
2024-06-05 18:30:00+02:00,57374.0
2024-06-05 18:45:00+02:00,57190.0
2024-06-05 19:00:00+02:00,57449.0
2024-06-05 19:15:00+02:00,57124.0
2024-06-05 19:30:00+02:00,56579.0
2024-06-05 19:45:00+02:00,56375.0
2024-06-05 20:00:00+02:00,55830.0
2024-06-05 20:15:00+02:00,55031.0
2024-06-05 20:30:00+02:00,54250.0
2024-06-05 20:45:00+02:00,53539.0
2024-06-05 21:00:00+02:00,53092.0
2024-06-05 21:15:00+02:00,52597.0
2024-06-05 21:30:00+02:00,52284.0
2024-06-05 21:45:00+02:00,52170.0
2024-06-05 22:00:00+02:00,51551.0
2024-06-05 22:15:00+02:00,50989.0
2024-06-05 22:30:00+02:00,50179.0
2024-06-05 22:45:00+02:00,49248.0
2024-06-05 23:00:00+02:00,47958.0
2024-06-05 23:15:00+02:00,47306.0
2024-06-05 23:30:00+02:00,46621.0
2024-06-05 23:45:00+02:00,45408.0
2024-06-06 00:00:00+02:00,44492.0
2024-06-06 00:15:00+02:00,43762.0
2024-06-06 00:30:00+02:00,43563.0
2024-06-06 00:45:00+02:00,43061.0
2024-06-06 01:00:00+02:00,42467.0
2024-06-06 01:15:00+02:00,42110.0
2024-06-06 01:30:00+02:00,41909.0
2024-06-06 01:45:00+02:00,41796.0
2024-06-06 02:00:00+02:00,41364.0
2024-06-06 02:15:00+02:00,41041.0
2024-06-06 02:30:00+02:00,41209.0
2024-06-06 02:45:00+02:00,41144.0
2024-06-06 03:00:00+02:00,41081.0
2024-06-06 03:15:00+02:00,40891.0
2024-06-06 03:30:00+02:00,41118.0
2024-06-06 03:45:00+02:00,41542.0
2024-06-06 04:00:00+02:00,41680.0
2024-06-06 04:15:00+02:00,41944.0
2024-06-06 04:30:00+02:00,42443.0
2024-06-06 04:45:00+02:00,42922.0
2024-06-06 05:00:00+02:00,43914.0
2024-06-06 05:15:00+02:00,44331.0
2024-06-06 05:30:00+02:00,45151.0
2024-06-06 05:45:00+02:00,46122.0
2024-06-06 06:00:00+02:00,49022.0
2024-06-06 06:15:00+02:00,50608.0
2024-06-06 06:30:00+02:00,51985.0
2024-06-06 06:45:00+02:00,53430.0
2024-06-06 07:00:00+02:00,54587.0
2024-06-06 07:15:00+02:00,55689.0
2024-06-06 07:30:00+02:00,56854.0
2024-06-06 07:45:00+02:00,57817.0
2024-06-06 08:00:00+02:00,58319.0
2024-06-06 08:15:00+02:00,58729.0
2024-06-06 08:30:00+02:00,59044.0
2024-06-06 08:45:00+02:00,59224.0
2024-06-06 09:00:00+02:00,59035.0
2024-06-06 09:15:00+02:00,59195.0
2024-06-06 09:30:00+02:00,59775.0
2024-06-06 09:45:00+02:00,59889.0
2024-06-06 10:00:00+02:00,59860.0
2024-06-06 10:15:00+02:00,60080.0
2024-06-06 10:30:00+02:00,60168.0
2024-06-06 10:45:00+02:00,60104.0
2024-06-06 11:00:00+02:00,59960.0
2024-06-06 11:15:00+02:00,59951.0
2024-06-06 11:30:00+02:00,59812.0
2024-06-06 11:45:00+02:00,59562.0
2024-06-06 12:00:00+02:00,61686.0
2024-06-06 12:15:00+02:00,61402.0
2024-06-06 12:30:00+02:00,61547.0
2024-06-06 12:45:00+02:00,61548.0
2024-06-06 13:00:00+02:00,59266.0
2024-06-06 13:15:00+02:00,58867.0
2024-06-06 13:30:00+02:00,58426.0
2024-06-06 13:45:00+02:00,57857.0
2024-06-06 14:00:00+02:00,57374.0
2024-06-06 14:15:00+02:00,56998.0
2024-06-06 14:30:00+02:00,56371.0
2024-06-06 14:45:00+02:00,56259.0
2024-06-06 15:00:00+02:00,56383.0
2024-06-06 15:15:00+02:00,55884.0
2024-06-06 15:30:00+02:00,55903.0
2024-06-06 15:45:00+02:00,56063.0
2024-06-06 16:00:00+02:00,55381.0
2024-06-06 16:15:00+02:00,55460.0
